Location Label,Latitude,Longitude,Contributer,Notes,Themes
NashvilleTN,36.1745,-86.768,Id0,Id0 = the instructional team,"""Nature, Weather, Relax, Celebration"""
MemphisTN,35.1175,-89.9711,Id0,,"""Sports, Nature, Party"""
JacksonTN,35.6145,-88.8139,Id0,,"""Fun, Party, Celebration"""
SanJoseCA,37.3387,-121.8853,Id0,,"""Party, Fun, Weather"""
LouisvilleKY,38.2527,-85.7585,Id0,,"""Sports, Food, Fun, Nature"""
BowlingGreenKY,36.9685,-86.4808,Id0,,"""Celebration, Fun"""
IndianapolisIN,39.7684,-86.1581,Id0,,"""Family"""
TerreHauteIN,39.4667,-87.4113,Id0,,"""Relax, Sightseeing, Family"""
ChicagoIL,41.8781,-87.6297,Id0,,"""Fun"""
SpringfieldIL,39.7876,-89.6501,Id0,,"""Fun, Weather, Sightseeing"""
CincinnatiOH,39.1034,-84.512,Id0,,"""Fun, Family, Weather, Sports"""
ColumbusOH,39.9695,-83.0089,Id0,,"""Sports, Celebration, Sightseeing"""
ClevelandOH,41.5053,-81.6976,Id0,,"""Relax, Family"""
LexingtonKY,38.0401,-84.5046,Id0,,"""Party, Weather, Sports"""
PaloAltoCA,37.4419,-122.143,Id0,,"""Sightseeing, Sports, Weather"""
SanDiegoCA,32.7157,-117.1611,Id0,,"""Fun, Weather"""
LosAngelesCA,34.0549,-118.2426,Id0,,"""Relax, Sports, Food"""
HoustonTX,29.7604,-95.3698,Id0,,"""Weather, Sports"""
SanAntonioTX,29.4252,-98.4946,Id0,,"""Weather, Sightseeing, Fun, Relax"""
DenverCO,39.7392,-104.9903,Id0,,"""Sightseeing, Celebration, Relax"""
ColoradoSpringsCO,38.8339,-104.8214,Id0,,"""Food, Fun, Celebration, Sports"""
BostonMA,42.3601,-71.0589,Id0,,"""Weather, Party"""
NewHavenCT,41.2983,-72.9279,Id0,,"""Fun, Relax, Sightseeing"""
PortlandOR,45.515232,-122.6783853,id0,,"""Celebration, Food, Sightseeing"""
EugeneOR,44.0520691,-123.0867536,id0,,"""Party, Sports, Nature, Family"""
BoiseID,43.6150186,-116.2023137,id0,,"""Weather, Nature, Sightseeing"""
PendletonOR,45.672075,-118.7885967,id0,,"""Fun, Nature, Sports, Family"""
TwinFallsID,42.5558381,-114.4700518,id0,,"""Weather, Food, Fun"""
IdahoFallsID,43.4926606,-112.0407584,id0,,"""Family"""
SaltLakeCityUT,40.7607793,-111.8910474,id0,,"""Food, Sightseeing"""
MedfordOR,42.3265152,-122.8755949,id0,,"""Relax, Nature, Family"""
ReddingCA,40.5865396,-122.3916754,id0,,"""Celebration, Nature, Relax"""
SacramentoCA,38.5815719,-121.4943996,id0,,"""Relax, Sightseeing"""
SouthLakeTahoeCA,38.939926,-119.9771868,id0,,"""Nature, Celebration, Sports, Sightseeing"""
RenoNV,39.529919,-119.8142691,id0,,"""Sightseeing"""
FresnoCA,36.7377981,-119.7871247,id0,,"""Sightseeing, Food, Celebration"""
CedarCityUT,37.6774768,-113.0618931,id0,,"""Family, Food, Fun"""
WinnemuccaNV,40.9728274,-117.7357354,id0,,"""Celebration, Party"""
ElkoNV,40.8324211,-115.7631232,id0,,"""Food, Sports, Sightseeing, Celebration"""
GrandJunctionCO,39.0638705,-108.5506486,id0,,"""Party, Celebration"""
AspenCO,39.1910983,-106.8175387,id0,,"""Food, Nature"""
BakersfieldCA,35.3732921,-119.0187125,id0,,"""Weather, Fun, Nature"""
AlbuquerqueNM,35.0843859,-106.650422,id0,,"""Celebration, Fun, Nature, Sightseeing"""
FlagstaffAZ,35.1982836,-111.651302,id0,,"""Nature, Party, Celebration, Relax"""
GallupNM,35.5280783,-108.7425843,id0,,"""Nature, Celebration, Food, Fun"""
CheyenneWY,41.1399814,-104.8202462,id0,,"""Family, Party, Weather"""
CasperWY,42.848709,-106.2980824,id0,,"""Sports, Food"""
BuffaloWY,44.3483072,-106.6989375,id0,,"""Fun, Relax, Celebration"""
CodyWY,44.5263421,-109.0565308,id0,,"""Family"""
FargoND,46.8771863,-96.7898034,id0,,"""Food"""
BismarckND,46.8054947,-100.7876931,id0,,"""Celebration, Food"""
GlendiveMT,47.106401,-104.7107931,id0,,"""Nature, Relax, Sports"""
GreatFallsMT,47.5052849,-111.3007715,id0,,"""Weather"""
HelenaMT,46.5891452,-112.0391057,id0,,"""Relax, Party, Fun, Weather"""
MinneapolisMN,44.977753,-93.2650108,id0,,"""Fun"""
DuluthMN,46.7866718,-92.1004852,id0,,"""Nature, Celebration"""
DesMoinesIA,41.5868353,-93.6249593,id0,,"""Fun, Food, Celebration"""
RochesterMN,44.0121221,-92.4801989,id0,,"""Weather, Food, Party"""
DavenportIA,41.5236437,-90.5776367,id0,,"""Sports, Relax"""
LincolnNE,40.813616,-96.7025955,id0,,"""Food, Celebration, Sightseeing, Relax"""
NorthPlatteNE,41.1402759,-100.7601454,id0,,"""Sports, Food, Fun"""
WichitaKS,37.687176,-97.330052,id0,,"""Celebration, Family, Fun, Weather"""
ManhattanKS,39.1836081,-96.571669,id0,,"""Family, Celebration, Weather"""
HaysKS,38.8791783,-99.3267702,id0,,"""Nature, Relax, Fun"""
OklahomaCityOK,35.4675602,-97.5164276,id0,,"""Nature, Relax, Party, Celebration"""
TulsaOK,36.1539816,-95.992775,id0,,"""Food, Celebration, Fun, Family"""
ElkCityOK,35.4119944,-99.4042592,id0,,"""Weather, Sightseeing"""
SantaFeNM,35.6869752,-105.937799,id0,,"""Sightseeing, Family, Fun, Party"""
PuebloCO,38.2544472,-104.6091409,id0,,"""Nature, Sightseeing, Weather, Celebration"""
JoplinMO,37.0842271,-94.5132809,id0,,"""Sports"""
FortSmithAR,35.3843722,-94.4209645,id0,,"""Sightseeing, Family"""
CedarRapidsIA,41.9778795,-91.6656232,id0,,"""Food, Fun"""
ShreveportLA,32.5251516,-93.7501789,id0,,"""Sightseeing, Sports"""
JacksonMS,32.2987573,-90.1848103,id0,,"""Fun"""
BatonRougeLA,30.4514677,-91.1871465,id0,,"""Food, Weather, Party, Fun"""
NewOrleansLA,29.9510657,-90.0715323,id0,,"""Nature"""
LubbockTX,33.5845617,-101.8456417,id0,,"""Party, Family, Sightseeing, Weather"""
CharlestonSC,32.7764749,-79.9310512,id0,,"""Party, Weather, Nature, Sports"""
RichmondVA,37.5407246,-77.4360481,id0,,"""Nature, Sightseeing, Weather"""
NorfolkVA,36.8507689,-76.2858725,id0,,"""Party, Sports"""
OceanCityMD,38.3365032,-75.0849058,id0,,"""Relax, Fun"""
WashingtonDC,38.9071923,-77.0368707,id0,,"""Party, Food, Nature, Sports"""
CharlestonWV,38.3498195,-81.6326234,id0,,"""Weather, Family"""
PhiladelphiaPA,39.9525839,-75.1652215,id0,,"""Relax, Weather, Sports, Food"""
HarrisburgPA,40.2731911,-76.8867008,id0,,"""Relax"""
AllentownPA,40.6022939,-75.4714098,id0,,"""Party, Fun, Celebration"""
NewYorkNY,40.7127753,-74.0059728,id0,,"""Party"""
TrentonNJ,40.2205824,-74.759717,id0,,"""Weather"""
HartfordCT,41.7658043,-72.6733723,id0,,"""Family, Sightseeing, Nature"""
ProvidenceRI,41.8239891,-71.4128343,id0,,"""Sightseeing"""
AlbanyNY,42.6525793,-73.7562317,id0,,"""Celebration, Nature"""
RochesterNY,43.1565778,-77.6088465,id0,,"""Relax"""
BuffaloNY,42.8864467,-78.8783689,id0,,"""Nature, Weather, Party, Family"""
ConcordNH,43.2081366,-71.5375718,id0,,"""Weather, Relax, Food, Celebration"""
PortlandME,43.6590993,-70.2568189,id0,,"""Food, Family, Relax, Sports"""
MontpelierVT,44.2600592,-72.5753869,id0,,"""Sightseeing, Fun"""
AugustaME,44.3106241,-69.7794897,id0,,"""Sports"""
GrandRapidsMI,42.9633599,-85.6680863,id0,,"""Fun, Sports, Celebration"""
LansingMI,42.732535,-84.5555347,id0,,"""Food, Weather, Sightseeing, Fun"""
GreenBayWI,44.5133188,-88.0132958,id0,,"""Weather"""
MilwaukeeWI,43.0389025,-87.9064736,id0,,"""Party, Celebration, Nature"""
TucsonAZ,32.2539787,-110.9741769,id0,,"""Sightseeing, Fun, Food"""
SpokaneWA,47.6579711,-117.4235319,id0,,"""Nature, Food, Celebration"""
ScrantonPA,41.408969,-75.6624121,id0,,"""Family, Relax"""
SyracuseNY,43.0481221,-76.1474243,id0,,"""Weather, Sightseeing, Fun, Sports"""
EriePA,42.129224,-80.085059,id0,,"""Party, Fun"""
BurlingtonCO,39.3061082,-102.2693563,id0,,"""Food, Family"""
MountHollyNJ,39.9934,-74.7883,Id1,,"""Relax, Sightseeing, Sports"""
FayettevilleNC,35.0421,-78.8784,Id1,,"""Celebration, Family, Nature"""
GrovetownGA,33.4508,-82.1992,Id1,,"""Food, Weather"""
HuntingtonWV,38.4137,-82.4467,Id10,,"""Fun, Family, Nature, Sightseeing"""
FairmontWV,39.4755,-80.1393,Id10,,"""Relax, Fun, Weather"""
PittsburghPA,40.4406,-79.9959,Id10,,"""Nature, Party"""
